Species;Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;Amostra;site;lat;lon;date
Iris virginica;7.3;2.9;6.3;1.8;A108;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.7;2.5;5.8;1.8;A109;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;7.2;3.6;6.1;2.5;A110;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.5;3.2;5.1;2;A111;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.4;2.7;5.3;1.9;A112;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.8;3;5.5;2.1;A113;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;5.7;2.5;5;2;A114;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;5.8;2.8;5.1;2.4;A115;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.4;3.2;5.3;2.3;A116;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.5;3;5.5;1.8;A117;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.7;3.8;6.7;2.2;A118;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;7.7;2.6;6.9;2.3;A119;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6;2.2;5;1.5;A120;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.9;3.2;5.7;2.3;A121;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;5.6;2.8;4.9;2;A122;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;7.7;2.8;6.7;2;A123;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.3;2.7;4.9;1.8;A124;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.7;3.3;5.7;2.1;A125;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;7.2;3.2;6;1.8;A126;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.2;2.8;4.8;1.8;A127;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.1;3;4.9;1.8;A128;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.4;2.8;5.6;2.1;A129;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.2;3;5.8;1.6;A130;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;7.4;2.8;6.1;1.9;A131;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;7.9;3.8;6.4;2;A132;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.4;2.8;5.6;2.2;A133;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.3;2.8;5.1;1.5;A134;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.1;2.6;5.6;1.4;A135;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.7;3;6.1;2.3;A136;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.3;3.4;5.6;2.4;A137;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.4;3.1;5.5;1.8;A138;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6;3;4.8;1.8;A139;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.9;3.1;5.4;2.1;A140;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.7;3.1;5.6;2.4;A141;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.9;3.1;5.1;2.3;A142;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;5.8;2.7;5.1;1.9;A143;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.8;3.2;5.9;2.3;A144;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.7;3.3;5.7;2.5;A145;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.7;3;5.2;2.3;A146;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.3;2.5;5;1.9;A147;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.5;3;5.2;2;A148;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.2;3.4;5.4;2.3;A149;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;5.9;3;5.1;1.8;A150;Site1;48.935.966;-64.840.984;01/12/1929
